LCSC Part;MFR.Part;First Category;Second Category;Package;Solder Joint;Manufacturer;Library Type
C22977;2Ω (2R00) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22978;3.3KΩ (3301) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22980;3.6KΩ (3601) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23018;3.9KΩ (3901) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23024;300KΩ (3003) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23025;300Ω (3000) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23046;4.99KΩ (4991) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C21189;0Ω (0R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23137;330KΩ (3303) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23138;330Ω (3300) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23140;33Ω (33R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23147;36KΩ (3602) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23150;390KΩ (3903) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23151;390Ω (3900) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23153;39KΩ (3902) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C4211;3KΩ (3001) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23156;3MΩ (3004) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23159;4.3KΩ (4301) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23162;4.7KΩ (4701) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23163;4.7MΩ (4704) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23164;4.7Ω (4R70) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23172;43KΩ (4302) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23178;470KΩ (4703) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23179;470Ω (4700) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23182;47Ω (47R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23184;49.9KΩ (4992) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23185;49.9Ω (49R9) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23186;5.1KΩ (5101) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23189;5.6KΩ (5601) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23192;510KΩ (5103) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23193;510Ω (5100) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23196;51KΩ (5102) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23203;560KΩ (5603) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23204;560Ω (5600) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23206;56KΩ (5602) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23212;6.8KΩ (6801) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23221;62KΩ (6202) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23228;680Ω (6800) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23231;68KΩ (6802) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
