# ECP5-5G caBGA381 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 0.0,,,,,,,,,,,,,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5UM5G-25,,,,,,,,LFE5UM5G-45,,,,,,,,LFE5UM5G-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
E6,PT6A,0,-,True_OF_PT6B,-,-,,E6,PT6A,0,-,True_OF_PT6B,-,-,,E6,PT6A,0,-,True_OF_PT6B,-,-
E7,PT9A,0,-,True_OF_PT9B,-,-,,E7,PT9A,0,-,True_OF_PT9B,-,-,,E7,PT9A,0,-,True_OF_PT9B,-,-
E8,PT13A,0,-,True_OF_PT13B,-,-,,E8,PT13A,0,-,True_OF_PT13B,-,-,,E8,PT13A,0,-,True_OF_PT13B,-,-
E9,PT20B,0,-,Comp_OF_PT20A,-,-,,E9,PT20B,0,-,Comp_OF_PT20A,-,-,,E9,PT20B,0,-,Comp_OF_PT20A,-,-
E10,NC,-,-,-,-,-,,E10,PT29B,0,-,Comp_OF_PT29A,-,-,,E10,PT56B,0,-,Comp_OF_PT56A,-,-
E11,PT33B,1,PCLKC1_1,Comp_OF_PT33A,-,-,,E11,PT42B,1,PCLKC1_1,Comp_OF_PT42A,-,-,,E11,PT69B,1,PCLKC1_1,Comp_OF_PT69A,-,-
E12,PT38B,1,GR_PCLK1_1,Comp_OF_PT38A,-,-,,E12,PT47B,1,GR_PCLK1_1,Comp_OF_PT47A,-,-,,E12,PT74B,1,GR_PCLK1_1,Comp_OF_PT74A,-,-
E13,PT44B,1,-,Comp_OF_PT44A,-,-,,E13,PT53B,1,-,Comp_OF_PT53A,-,-,,E13,PT80B,1,-,Comp_OF_PT80A,-,-
E14,PT49B,1,-,Comp_OF_PT49A,-,-,,E14,PT58B,1,-,Comp_OF_PT58A,-,-,,E14,PT85B,1,-,Comp_OF_PT85A,-,-
E15,PT53B,1,-,Comp_OF_PT53A,-,-,,E15,PT71B,1,-,Comp_OF_PT71A,-,-,,E15,PT107B,1,-,Comp_OF_PT107A,-,-
E16,PR2C,2,-,True_OF_PR2D,-,RDQ8,,E16,PR11C,2,-,True_OF_PR11D,-,RDQ17,,E16,PR11C,2,-,True_OF_PR11D,-,RDQ17
E17,PR5B,2,-,Comp_OF_PR5A,TRUE,RDQ8,,E17,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ17,,E17,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ17
E18,PR5C,2,-,True_OF_PR5D,-,RDQ8,,E18,PR14C,2,-,True_OF_PR14D,-,RDQ17,,E18,PR14C,2,-,True_OF_PR14D,-,RDQ17
E19,PR14D,2,-,Comp_OF_PR14C,-,RDQ20,,E19,PR23D,2,-,Comp_OF_PR23C,-,RDQ29,,E19,PR35D,2,-,Comp_OF_PR35C,-,RDQ41
E20,PR17A,2,-,True_OF_PR17B,TRUE,RDQ20,,E20,PR26A,2,-,True_OF_PR26B,TRUE,RDQ29,,E20,PR38A,2,-,True_OF_PR38B,TRUE,RDQ41
F1,PL26B,6,PCLKC6_1,Comp_OF_PL26A,TRUE,LDQ32,,F1,PL35B,6,PCLKC6_1,Comp_OF_PL35A,TRUE,LDQ41,,F1,PL47B,6,PCLKC6_1,Comp_OF_PL47A,TRUE,LDQ53
F2,PL23C,7,PCLKT7_0,True_OF_PL23D,-,LDQ20,,F2,PL32C,7,PCLKT7_0,True_OF_PL32D,-,LDQ29,,F2,PL44C,7,PCLKT7_0,True_OF_PL44D,-,LDQ41
F3,PL23B,7,PCLKC7_1,Comp_OF_PL23A,TRUE,LDQ20,,F3,PL32B,7,PCLKC7_1,Comp_OF_PL32A,TRUE,LDQ29,,F3,PL44B,7,PCLKC7_1,Comp_OF_PL44A,TRUE,LDQ41
F4,PL11A,7,-,True_OF_PL11B,TRUE,LDQ8,,F4,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17,,F4,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17
F5,PL11D,7,-,Comp_OF_PL11C,-,LDQ8,,F5,PL20D,7,-,Comp_OF_PL20C,-,LDQ17,,F5,PL20D,7,-,Comp_OF_PL20C,-,LDQ17
F6,VCCAUX,-,-,-,-,-,,F6,VCCAUX,-,-,-,-,-,,F6,VCCAUX,-,-,-,-,-
F7,GND,-,-,-,-,-,,F7,GND,-,-,-,-,-,,F7,GND,-,-,-,-,-
F8,GND,-,-,-,-,-,,F8,GND,-,-,-,-,-,,F8,GND,-,-,-,-,-
F9,VCCIO0,0,-,-,-,-,,F9,VCCIO0,0,-,-,-,-,,F9,VCCIO0,0,-,-,-,-
F10,VCCIO0,0,-,-,-,-,,F10,VCCIO0,0,-,-,-,-,,F10,VCCIO0,0,-,-,-,-
F11,VCCIO1,1,-,-,-,-,,F11,VCCIO1,1,-,-,-,-,,F11,VCCIO1,1,-,-,-,-
F12,VCCIO1,1,-,-,-,-,,F12,VCCIO1,1,-,-,-,-,,F12,VCCIO1,1,-,-,-,-
F13,GND,-,-,-,-,-,,F13,GND,-,-,-,-,-,,F13,GND,-,-,-,-,-
F14,GND,-,-,-,-,-,,F14,GND,-,-,-,-,-,,F14,GND,-,-,-,-,-
F15,VCCAUX,-,-,-,-,-,,F15,VCCAUX,-,-,-,-,-,,F15,VCCAUX,-,-,-,-,-
F16,PR2D,2,-,Comp_OF_PR2C,-,RDQ8,,F16,PR11D,2,-,Comp_OF_PR11C,-,RDQ17,,F16,PR11D,2,-,Comp_OF_PR11C,-,RDQ17
F17,PR8A,2,-,True_OF_PR8B,TRUE,RDQS8,,F17,PR17A,2,-,True_OF_PR17B,TRUE,RDQS17,,F17,PR17A,2,-,True_OF_PR17B,TRUE,RDQS17
F18,PR5D,2,-,Comp_OF_PR5C,-,RDQ8,,F18,PR14D,2,-,Comp_OF_PR14C,-,RDQ17,,F18,PR14D,2,-,Comp_OF_PR14C,-,RDQ17
F19,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQ20,,F19,PR26B,2,-,Comp_OF_PR26A,TRUE,RDQ29,,F19,PR38B,2,-,Comp_OF_PR38A,TRUE,RDQ41
F20,PR17C,2,-,True_OF_PR17D,-,RDQ20,,F20,PR26C,2,-,True_OF_PR26D,-,RDQ29,,F20,PR38C,2,-,True_OF_PR38D,-,RDQ41
G1,PL26D,6,PCLKC6_0,Comp_OF_PL26C,-,LDQ32,,G1,PL35D,6,PCLKC6_0,Comp_OF_PL35C,-,LDQ41,,G1,PL47D,6,PCLKC6_0,Comp_OF_PL47C,-,LDQ53
G2,PL26A,6,PCLKT6_1,True_OF_PL26B,TRUE,LDQ32,,G2,PL35A,6,PCLKT6_1,True_OF_PL35B,TRUE,LDQ41,,G2,PL47A,6,PCLKT6_1,True_OF_PL47B,TRUE,LDQ53
G3,PL23A,7,PCLKT7_1,True_OF_PL23B,TRUE,LDQ20,,G3,PL32A,7,PCLKT7_1,True_OF_PL32B,TRUE,LDQ29,,G3,PL44A,7,PCLKT7_1,True_OF_PL44B,TRUE,LDQ41
G4,GND,-,-,-,-,-,,G4,GND,-,-,-,-,-,,G4,GND,-,-,-,-,-
G5,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQSN20,,G5,PL29B,7,-,Comp_OF_PL29A,TRUE,LDQSN29,,G5,PL41B,7,-,Comp_OF_PL41A,TRUE,LDQSN41
G6,GND,-,-,-,-,-,,G6,GND,-,-,-,-,-,,G6,GND,-,-,-,-,-
G7,GND,-,-,-,-,-,,G7,GND,-,-,-,-,-,,G7,GND,-,-,-,-,-
G8,GND,-,-,-,-,-,,G8,GND,-,-,-,-,-,,G8,GND,-,-,-,-,-
G9,GND,-,-,-,-,-,,G9,GND,-,-,-,-,-,,G9,GND,-,-,-,-,-
G10,GND,-,-,-,-,-,,G10,GND,-,-,-,-,-,,G10,GND,-,-,-,-,-
G11,GND,-,-,-,-,-,,G11,GND,-,-,-,-,-,,G11,GND,-,-,-,-,-
G12,GND,-,-,-,-,-,,G12,GND,-,-,-,-,-,,G12,GND,-,-,-,-,-
G13,GND,-,-,-,-,-,,G13,GND,-,-,-,-,-,,G13,GND,-,-,-,-,-
G14,GND,-,-,-,-,-,,G14,GND,-,-,-,-,-,,G14,GND,-,-,-,-,-
G15,GND,-,-,-,-,-,,G15,GND,-,-,-,-,-,,G15,GND,-,-,-,-,-
G16,PR8C,2,-,True_OF_PR8D,-,RDQ8,,G16,PR17C,2,-,True_OF_PR17D,-,RDQ17,,G16,PR17C,2,-,True_OF_PR17D,-,RDQ17
G17,GND,-,-,-,-,-,,G17,GND,-,-,-,-,-,,G17,GND,-,-,-,-,-
G18,PR8B,2,-,Comp_OF_PR8A,TRUE,RDQSN8,,G18,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17,,G18,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17
G19,PR20A,2,GR_PCLK2_1,True_OF_PR20B,TRUE,RDQS20,,G19,PR29A,2,GR_PCLK2_1,True_OF_PR29B,TRUE,RDQS29,,G19,PR41A,2,GR_PCLK2_1,True_OF_PR41B,TRUE,RDQS41
G20,PR17D,2,-,Comp_OF_PR17C,-,RDQ20,,G20,PR26D,2,-,Comp_OF_PR26C,-,RDQ29,,G20,PR38D,2,-,Comp_OF_PR38C,-,RDQ41
H1,PL32C,6,-,True_OF_PL32D,-,LDQ32,,H1,PL41C,6,-,True_OF_PL41D,-,LDQ41,,H1,PL53C,6,-,True_OF_PL53D,-,LDQ53
H2,PL26C,6,PCLKT6_0,True_OF_PL26D,-,LDQ32,,H2,PL35C,6,PCLKT6_0,True_OF_PL35D,-,LDQ41,,H2,PL47C,6,PCLKT6_0,True_OF_PL47D,-,LDQ53
H3,PL20D,7,-,Comp_OF_PL20C,-,LDQ20,,H3,PL29D,7,-,Comp_OF_PL29C,-,LDQ29,,H3,PL41D,7,-,Comp_OF_PL41C,-,LDQ41
